"ticker","date","amount"
"BNS.TO","1995-03-29",0.0775
"BNS.TO","1995-06-29",0.0775
"BNS.TO","1995-09-29",0.0775
"BNS.TO","1995-12-28",0.0775
"BNS.TO","1996-03-29",0.0775
"BNS.TO","1996-06-27",0.0850
"BNS.TO","1996-09-27",0.0850
"BNS.TO","1997-01-03",0.0925
"BNS.TO","1997-03-27",0.0925
"BNS.TO","1997-06-27",0.0925
"BNS.TO","1997-10-03",0.0925
"BNS.TO","1998-01-02",0.1000
"BNS.TO","1998-04-03",0.1000
"BNS.TO","1998-07-03",0.1000
"BNS.TO","1998-10-02",0.1000
"BNS.TO","1998-12-31",0.1050
"BNS.TO","1999-04-01",0.1050
"BNS.TO","1999-07-02",0.1050
"BNS.TO","1999-10-01",0.1200
"BNS.TO","1999-12-30",0.1200
"BNS.TO","2000-03-31",0.1200
"BNS.TO","2000-06-29",0.1200
"BNS.TO","2000-09-29",0.1400
"BNS.TO","2000-12-28",0.1400
"BNS.TO","2001-03-30",0.1550
"BNS.TO","2001-06-28",0.1550
"BNS.TO","2001-10-05",0.1700
"BNS.TO","2001-12-28",0.1700
"BNS.TO","2002-03-28",0.1850
"BNS.TO","2002-06-27",0.1850
"BNS.TO","2002-09-27",0.1850
"BNS.TO","2003-01-03",0.2000
"BNS.TO","2003-03-28",0.2000
"BNS.TO","2003-06-27",0.2200
"BNS.TO","2003-10-03",0.2200
"BNS.TO","2004-01-02",0.2500
"BNS.TO","2004-04-02",0.2500
"BNS.TO","2004-07-02",0.3000
"BNS.TO","2004-10-01",0.3000
"BNS.TO","2004-12-30",0.3200
"BNS.TO","2005-04-01",0.3200
"BNS.TO","2005-06-30",0.3400
"BNS.TO","2005-09-30",0.3400
"BNS.TO","2005-12-29",0.3600
"BNS.TO","2006-03-31",0.3600
"BNS.TO","2006-06-29",0.3900
"BNS.TO","2006-09-29",0.3900
"BNS.TO","2006-12-28",0.4200
"BNS.TO","2007-03-30",0.4200
"BNS.TO","2007-06-28",0.4500
"BNS.TO","2007-09-28",0.4500
"BNS.TO","2007-12-28",0.4700
"BNS.TO","2008-03-28",0.4700
"BNS.TO","2008-06-27",0.4900
"BNS.TO","2008-10-03",0.4900
"BNS.TO","2009-01-02",0.4900
"BNS.TO","2009-04-03",0.4900
"BNS.TO","2009-07-03",0.4900
"BNS.TO","2009-10-02",0.4900
"BNS.TO","2009-12-31",0.4900
"BNS.TO","2010-04-01",0.4900
"BNS.TO","2010-07-02",0.4900
"BNS.TO","2010-10-01",0.4900
"BNS.TO","2010-12-30",0.4900
"BNS.TO","2011-04-01",0.5200
"BNS.TO","2011-06-30",0.5200
"BNS.TO","2011-09-30",0.5200
"BNS.TO","2011-12-29",0.5200
"BNS.TO","2012-03-30",0.5500
"BNS.TO","2012-06-28",0.5500
"BNS.TO","2012-09-28",0.5700
"BNS.TO","2012-12-28",0.5700
"BNS.TO","2013-03-28",0.6000
"BNS.TO","2013-06-27",0.6000
"BNS.TO","2013-09-27",0.6200
"BNS.TO","2014-01-03",0.6200
"BNS.TO","2014-03-28",0.6400
"BNS.TO","2014-06-27",0.6400
"BNS.TO","2014-10-03",0.6600
"BNS.TO","2015-01-02",0.6600
"BNS.TO","2015-04-02",0.6800
"BNS.TO","2015-07-03",0.6800
"BNS.TO","2015-10-02",0.7000
"BNS.TO","2015-12-31",0.7000
"BNS.TO","2016-04-01",0.7200
"BNS.TO","2016-06-30",0.7200
"BNS.TO","2016-09-30",0.7400
"BNS.TO","2016-12-29",0.7400
"BNS.TO","2017-03-31",0.7600
"BNS.TO","2017-06-29",0.7600
"BNS.TO","2017-10-02",0.7900
"BNS.TO","2017-12-29",0.7900
"BNS.TO","2018-04-02",0.8200
"BNS.TO","2018-06-29",0.8200
"BNS.TO","2018-10-01",0.8500
"BNS.TO","2018-12-31",0.8500
"BNS.TO","2019-04-01",0.8700
"BNS.TO","2019-06-28",0.8700
"BNS.TO","2019-09-30",0.9000
"BNS.TO","2020-01-06",0.9000
"BNS.TO","2020-04-06",0.9000
"BNS.TO","2020-07-06",0.9000
"BNS.TO","2020-10-05",0.9000
"BNS.TO","2021-01-04",0.9000
"BNS.TO","2021-04-05",0.9000
"BNS.TO","2021-07-05",0.9000
"BNS.TO","2021-10-04",0.9000
"BNS.TO","2021-12-31",1.0000
"BNS.TO","2022-04-04",1.0000
"BNS.TO","2022-07-04",1.0300
"BNS.TO","2022-10-03",1.0300
"BNS.TO","2023-01-03",1.0300
"BNS.TO","2023-04-03",1.0300
"BNS.TO","2023-07-04",1.0600
"BNS.TO","2023-09-29",1.0600
"BNS.TO","2024-01-02",1.0600
"BNS.TO","2024-04-01",1.0600
"BNS.TO","2024-07-03",1.0600
"BNS.TO","2024-10-02",1.0600
"BNS.TO","2025-01-07",1.0600
"BNS.TO","2025-04-01",1.0600
"BNS.TO","2025-07-02",1.1000
"BNS.TO","2025-10-07",1.1000
"BNS.TO","2026-01-06",1.1000
"BNS.TO","2026-04-07",1.1000
"RY.TO","1995-01-19",0.0725
"RY.TO","1995-04-18",0.0725
"RY.TO","1995-07-21",0.0725
"RY.TO","1995-10-23",0.0775
"RY.TO","1996-01-22",0.0775
"RY.TO","1996-04-22",0.0213
"RY.TO","1996-04-22",0.0213
"RY.TO","1996-07-22",0.0850
"RY.TO","1996-10-22",0.0850
"RY.TO","1997-01-23",0.0925
"RY.TO","1997-04-22",0.0925
"RY.TO","1997-07-22",0.0975
"RY.TO","1997-10-23",0.0975
"RY.TO","1998-01-22",0.1050
"RY.TO","1998-04-22",0.1050
"RY.TO","1998-07-23",0.1150
"RY.TO","1998-10-22",0.1150
"RY.TO","1999-01-21",0.1150
"RY.TO","1999-04-21",0.1150
"RY.TO","1999-07-22",0.1200
"RY.TO","1999-10-21",0.1200
"RY.TO","2000-01-21",0.1350
"RY.TO","2000-04-19",0.1350
"RY.TO","2000-07-21",0.1500
"RY.TO","2000-10-23",0.1500
"RY.TO","2001-01-22",0.1650
"RY.TO","2001-04-20",0.1650
"RY.TO","2001-07-23",0.1800
"RY.TO","2001-10-22",0.1800
"RY.TO","2002-01-22",0.1800
"RY.TO","2002-04-22",0.1900
"RY.TO","2002-07-22",0.1900
"RY.TO","2002-10-21",0.2000
"RY.TO","2003-01-23",0.2000
"RY.TO","2003-04-21",0.2150
"RY.TO","2003-07-21",0.2150
"RY.TO","2003-10-23",0.2300
"RY.TO","2004-01-22",0.2300
"RY.TO","2004-04-20",0.2600
"RY.TO","2004-07-22",0.2600
"RY.TO","2004-10-22",0.2600
"RY.TO","2005-01-24",0.2750
"RY.TO","2005-04-21",0.2750
"RY.TO","2005-07-22",0.3050
"RY.TO","2005-10-21",0.3200
"RY.TO","2006-01-24",0.3200
"RY.TO","2006-04-21",0.3600
"RY.TO","2006-07-24",0.3600
"RY.TO","2006-10-24",0.4000
"RY.TO","2007-01-23",0.4000
"RY.TO","2007-04-23",0.4600
"RY.TO","2007-07-24",0.4600
"RY.TO","2007-10-23",0.5000
"RY.TO","2008-01-22",0.5000
"RY.TO","2008-04-22",0.5000
"RY.TO","2008-07-22",0.5000
"RY.TO","2008-10-23",0.5000
"RY.TO","2009-01-22",0.5000
"RY.TO","2009-04-21",0.5000
"RY.TO","2009-07-23",0.5000
"RY.TO","2009-10-22",0.5000
"RY.TO","2010-01-22",0.5000
"RY.TO","2010-04-20",0.5000
"RY.TO","2010-07-22",0.5000
"RY.TO","2010-10-22",0.5000
"RY.TO","2011-01-24",0.5000
"RY.TO","2011-04-21",0.5000
"RY.TO","2011-07-22",0.5400
"RY.TO","2011-10-24",0.5400
"RY.TO","2012-01-24",0.5400
"RY.TO","2012-04-23",0.5700
"RY.TO","2012-07-24",0.5700
"RY.TO","2012-10-23",0.6000
"RY.TO","2013-01-22",0.6000
"RY.TO","2013-04-23",0.6300
"RY.TO","2013-07-23",0.6300
"RY.TO","2013-10-22",0.6700
"RY.TO","2014-01-23",0.6700
"RY.TO","2014-04-22",0.7100
"RY.TO","2014-07-22",0.7100
"RY.TO","2014-10-23",0.7500
"RY.TO","2015-01-22",0.7500
"RY.TO","2015-04-21",0.7700
"RY.TO","2015-07-23",0.7700
"RY.TO","2015-10-22",0.7900
"RY.TO","2016-01-22",0.7900
"RY.TO","2016-04-21",0.8100
"RY.TO","2016-07-22",0.8100
"RY.TO","2016-10-24",0.8300
"RY.TO","2017-01-24",0.8300
"RY.TO","2017-04-21",0.8700
"RY.TO","2017-07-24",0.8700
"RY.TO","2017-10-25",0.9100
"RY.TO","2018-01-24",0.9100
"RY.TO","2018-04-24",0.9400
"RY.TO","2018-07-25",0.9400
"RY.TO","2018-10-24",0.9800
"RY.TO","2019-01-23",0.9800
"RY.TO","2019-04-24",1.0200
"RY.TO","2019-07-24",1.0200
"RY.TO","2019-10-23",1.0500
"RY.TO","2020-01-24",1.0500
"RY.TO","2020-04-22",1.0800
"RY.TO","2020-07-24",1.0800
"RY.TO","2020-10-23",1.0800
"RY.TO","2021-01-25",1.0800
"RY.TO","2021-04-21",1.0800
"RY.TO","2021-07-23",1.0800
"RY.TO","2021-10-25",1.0800
"RY.TO","2022-01-25",1.2000
"RY.TO","2022-04-22",1.2000
"RY.TO","2022-07-25",1.2800
"RY.TO","2022-10-25",1.2800
"RY.TO","2023-01-25",1.3200
"RY.TO","2023-04-24",1.3200
"RY.TO","2023-07-25",1.3500
"RY.TO","2023-10-25",1.3500
"RY.TO","2024-01-24",1.3800
"RY.TO","2024-04-24",1.3800
"RY.TO","2024-07-25",1.4200
"RY.TO","2024-10-24",1.4200
"RY.TO","2025-01-27",1.4800
"RY.TO","2025-04-24",1.4800
"RY.TO","2025-07-24",1.5400
"RY.TO","2025-10-27",1.5400
"RY.TO","2026-01-26",1.6400
"RY.TO","2026-04-23",1.6400
